Code,Parent,Name_de
"25602010","73112","Finisseur | Finisseuse"
"25602011","73112","Uhrgehäusemechaniker | Uhrgehäusemechanikerin"
"25602012","73112","Lapideur | Lapideuse"
"25602013","73112","Frappeur | Frappeuse"
"25602014","73112","Schalenacheveur | Schalenacheveuse"
"25602015","73112","Uhrenedelsteinschleifer | Uhrenedelsteinschleiferin"
"25602017","73112","Regler | Reglerin"
"25602018","73112","Uhrenjustierer | Uhrenjustiererin"
"25602019","73111","Uhrgehäusefertiger | Uhrgehäusefertigerin"
"25602020","73112","Angleur | Angleuse"
"25602021","73112","Uhrenpolierer | Uhrenpoliererin"
"25602022","73112","Zähler (Uhrenindustrie) | Zählerin (Uhrenindustrie)"
"25602023","73112","Uhrenschalenacheveur | Uhrenschalenacheveuse"
"25602026","73112","Uhrenschalenarbeiter | Uhrenschalenarbeiterin"
"25602027","73112","Goldschalenacheveur | Goldschalenacheveuse"
"25602028","73112","Uhrengraveur | Uhrengraveurin"
"25602029","73112","Stanzer, Uhrenindustrie | Stanzerin, Uhrenindustrie"
"25602030","73112","Hemmungsmonteur | Hemmungsmonteurin"
"25602031","73112","Anker-Hemmungsmonteur | Anker-Hemmungsmonteurin"
"25602032","73112","Anker-Hemmungsmonteur und Ingangsetzer | Anker-Hemmungsmonteurin und Ingangsetzerin"
"25602033","73112","Uhrsteinbearbeiter | Uhrsteinbearbeiterin"
"25602034","73112","Uhrsteinbohrer | Uhrsteinbohrerin"
"25602035","73112","Uhrgehäuse-Acheveur, Metall und Stahl | Uhrgehäuse-Acheveuse, Metall und Stahl"
"25602036","73112","Uhrenstanzenmacher | Uhrenstanzenmacherin"
"25602037","73112","Acheveur in Schalenfabrik | Acheveuse in Schalenfabrik"
"25602038","73130","Pierriste"
"25602039","73112","Uhrgehäuse-Acheveur | Uhrgehäuse-Acheveuse"
"25602040","73112","Oliveur | Oliveuse"
"25602041","73112","Grandisseur | Grandisseuse"
"25602042","73112","Uhrsteinschleifer | Uhrsteinschleiferin"
"25602043","73112","Flachspiralenregler | Flachspiralenreglerin"
"25602044","73112","Reglierer, Flach- und Breguetspiralen | Regliererin, Flach- und Breguetspiralen"
"25602045","73112","Roskopfuhrenmonteur | Roskopfuhrenmonteurin"
"25602046","73112","Uhrenguillocheur | Uhrenguillocheuse"
"25602047","73112","Cadrandreher | Cadrandreherin"
"25602048","73112","Uhrgehäusedreher und -acheveur | Uhrgehäusedreherin und -acheveuse"
"25602049","73112","Zifferblattdrucker | Zifferblattdruckerin"
"25602050","73112","Säger in Uhrsteinfabrik | Sägerin in Uhrsteinfabrik"
"25602051","73112","Uhrsteinsäger | Uhrsteinsägerin"
"25602052","73112","Epargneur, Uhren | Epargneuse, Uhren"
"25602053","73112","Uhrsteinfasser | Uhrsteinfasserin"
"25602054","73112","Calibreur (Uhren) | Calibreuse (Uhren)"
"25602056","73112","Uhrsteindreher | Uhrsteindreherin"
"25602057","73112","Uhrschalenmacher | Uhrschalenmacherin"
"25602058","73112","Uhrenschalenpolierer | Uhrenschalenpoliererin"
"25602059","73112","Uhrenbandarbeiter | Uhrenbandarbeiterin"
"25602060","73112","Zeigermacher | Zeigermacherin"
"25602061","21630","Uhrenentwickler | Uhrenentwicklerin"
"25602062","73112","Uhrenradbohrer | Uhrenradbohrerin"
"25602063","73112","Zifferblattbohrer | Zifferblattbohrerin"
"25602064","73111","Uhrentermineur | Uhrentermineurin"
"25602065","73112","Pivotagearbeiter | Pivotagearbeiterin"
"25602066","73112","Uhrenangestellter | Uhrenangestellte"
"25602067","73112","Uhrenpolisseur | Uhrenpolisseuse"
"25602068","73112","Zifferblattsetzer | Zifferblattsetzerin"
"25602069","73112","Zifferblattpolisseur | Zifferblattpolisseuse"
"25602070","73112","Zifferblattmaler | Zifferblattmalerin"
"25602071","73112","Uhrradmacher | Uhrradmacherin"
"25602072","73112","Zifferblatt-Décalqueur | Zifferblatt-Décalqueuse"
"25602073","73112","Uhrendecotteur | Uhrendecotteuse"
"25602074","73112","Zifferblatt-Decoupeur | Zifferblatt-Decoupeuse"
"25602075","73112","Fournitürenmacher | Fournitürenmacherin"
"25602076","73112","Uhrengalvanoplastiker | Uhrengalvanoplastikerin"
"25602077","73112","Ankergarnisseur | Ankergarnisseuse"
"25602078","73112","Acheveur-Schweisser | Acheveuse-Schweisserin"
"25602079","73112","Cadransetzer | Cadransetzerin"
"25602080","73112","Schärfer, Uhrenindustrie | Schärferin, Uhrenindustrie"
"25602081","73112","Unruhmacher | Unruhmacherin"
"25602082","73112","Pignonmacher | Pignonmacherin"
