Occupation,CH-ISCO-19
Helfer,*
Helfer an d. Nydeck,*
Hemden- u. Blousenm.,*
Hlzschuhm.,*
Holzhauer,*
Holzhdl.,*
Holzmess.,*
Holzschuhm.,*
Hufschm.,*
Hufschmied,*
Hutm.,*
Hutmacher,*
Ing.,*
Ingen.,*
Ingenieur,*
Instr.-Adj.,36104033
Instr.-Hauptmann,36104033
Instr.-Offiz.,36104009
Instrk.,44703003
Instrkt.-Major,36104033
Instrukt.,44703003
Instrukt.-Adjutant,36104033
Instruktor,44703003
Instrum.,*
Instrumentm.,*
Instrumentmacher,*
Müller,*
Journal.,*
Journalist,*
Jüponsstep.,*
Kaffee- u. Küchliw.,*
Kaffeew.,*
Kaffeewirth,*
Kaminf.,41104001
Kaminfeg.,41104001
Kaminfeger,41104001
Kamm.,*
Kammacher,*
Kammm.,*
Kammmach.,*
Kammmacher,*
Kammmch.,*
Kanzl.,*
Kanzl. u. Spezierer,*
Kanzleiläufer,*
Kanzler d. franz. Gesandtsch.,*
Kanzlist,33202006
Kanzlist.,33202006
Kappenm.,*
Kappenmach.,*
Kappenmacher,*
Kappenmacherin,*
Käs- u. Milchhdl.,31109071
Käshändl.,31109071
Käshdl.,31109071
Kassier,*
Kellerhlt. u. Weinneg.,*
Kerzenfabr.,*
Kerzenfabrik.,*
Kerzenfabrikant,*
Kettelim.,*
Klaßhl.,*
Klavierhdl.,*
Klavierm.,*
Klaviermach.,*
Klaviermacher,*
Kleiderhändlerin,31109047
Kleiderhdl.,31109047
Kleiderhl.,31109047
Kleiderreiniger,*
Kleidertrödler,*
Knochens.,*
Knopffabr.,*
Knopfmach.,*
Knopfmacher,*
Knopfmacher.,*
Koch,*
Kohlenh.,*
Kohlenhändl.,*
Kohlenhdl.,*
Kommand.,*
Kommis,*
Kommiss.,*
Kommission.,*
Kond.,*
Konditor,*
Kondkt.,*
Kondukt.,*
Kondukteur,*
König,*
Kopist,*
Korber,*
Körber,*
Korbflecht.,*
Korbm.,*
Kostgb.,*
Kostgeb.,*
Kostgeberin,*
Kostpferdhalt.,11301011
Kostpferdhalter,11301011
Kostpferdhalterin,11301011
Kräm.,*
Kräm. u. Glaser,*
Krämer,*
Krämer.,*
Krämerin,*
Krankenw.,*
Krankenwärt.,*
Kreuzw.,*
Kriegskommiss.,*
Krm.,*
Kronenwirth,39101051
Ktsbuchh.,33102113
Kübl.,26107056
Kübler,26107056
Kübler u. Hechl.,26107056
Kübler u. Hechler,26107056
Küchl.,*
Küchler,*
Küchler.,*
Küchlerin,*
Küchliw.,*
Küchliwirth,*
Küf.,26107015
Küf. u. Faßf.,26107015
Küfer,26107015
Kunstgärt.,*
Kunsthdl.,*
Kunstm.,*
Kunstmal.,*
Kunstmaler,*
Kunstml.,*
Kupferschm.,*
Kupferschmd.,*
Kürsch.,*
Kürschn.,*
Kürschner,*
Kutsch.,34503015
Kutscher,34503015
Kutscher u. Gastwirth,34503015
Ladengeh.,*
Landjägerlieut.,*
Landsaßen-Almosner,*
Landw.,*
Landwirth,*
Lebk.,*
Lebküchl.,*
Lebküchler,*
Lederhändl.,*
Lederhändler,*
Lederhdl.,*
Lederhl.,*
Legationsrath,*
Leh.,44401007
Lehr.,44401007
Lehrer,44401007
Lehrer d. Math.,44702017
Lehrer d. Mathem.,44702017
Lehrer im Waisenhaus,44401007
Lehrer u. Literat,44401007
Lehrer.,44401007
Lehrerin,44401007
Leichenbitt.,*
Leichenbitterin,*
Leinewb.,*
Leinwandfbr.,*
Leinwandh.,*
Leinwandhändlerin,*
Leinwandhdl.,*
Leinweber,*
Leinwndsbr.,*
Lesekab.,*
Liegenschverwlt.,*
Limonadefbr.,*
Ling.,41102031
Lingère,41102031
Liniererin,27302023
Literat,37104001
Lith.,27102014
Lithogr.,27102014
Lithograph,27102014
Lithograph und Negotiant,27102014
Lohnbed.,*
Lohnbedienter,*
Lohnk.,34503015
Lohnksch.,34503015
Lohnkutsch.,34503015
Lohnkutscher,34503015
Lohnw.,*
Lohnwasch,*
Lohnwasch.,*
Lumpens.,*
Lumpensamml.,*
Lumpensl.,*
Lumphdl.,*
Maj. Rt.,*
Major,*
Maler,*
Maler u. Gyps.,*
Maler u. Gypser,*
Mathem.,*
Matratzenm.,*
Maurer,*
Mech.,*
Mechan.,*
Mechaniker,*
Med. Dr.,*
Megger,*
Mehl- u. Weinhändl.,*
Mehlh.,*
Mehlhändl.,*
Mehlhändler,*
Mehlhdl.,*
Mehlhl.,*
Mehlhndl. u. Spez.,*
Mercerhdl.,*
Messersch.,*
Messerschm.,*
Messerschmied,*
Meßg.,*
Meßger,*
Metzg.,*
Metzger,*
Metzgerm.,*
Metzgermeister,*
Mezg.,*
Milchhändl.,*
Milchhändler,*
Milchhdl.,*
Milchhl.,*
Milchtr.,*
Milchträger,*
Mineralwasserfabrikant,*
Möbelhändler,31109078
Möbelschr.,26103003
Mod.,22204007
Mod. u. Ling.,41102031
Mod. u. Lingère,41102031
Modehdl.,*
Modelleur,*
Modewhl.,*
Modist.,22204007
Modiste,22204007
Modistin,22204007
Mühlem.,*
Mül.,21106002
Müller,21106002
Müller u. Postpferdh.,21106002
Müllerm.,21106021
Musik.,38101031
Musikalh.,*
Musikalienh.,*
Musikalienhdl.,*
Musikdir.,38101005
Musikdirekt.,38101005
Musiker,38101031
Musikl.,44603018
Musikl. (Organist),44603006
Musiklehr.,44603018
Musiklehrer,44603018
Musikus,38101031
Näh.,*
Näher. u. Schröpf.,*
Neg.,*
Neg. u. Antiq.,*
Neg. u. Buchführer,*
Negot. in der Felsenau.,*
Negotiant,*
Negotiant.,*
Negt.,*
Negt. u. Töchter,*
Ngt.,*
Not.,36203003
Not. u. Fürspr.,36203008
Not. u. Rechtsagent,36203003
Not. u. Verw. d. Hypoth.-K.,36203003
Notar,36203003
Notar u. Rechtsag.,36203003
Notar u. Rechtsagent,36203003
Nudelmacherin,21104030
Nudlem.,21104030
Nudlemacherin,21104030
Ober-Postcontrll.,*
Oberf. Stadtb.,*
Obergerichtspräsident,*
Obergerichtsschreiber,36202002
Oberl.,44401004
Oberpost-Rev.,*
Oberpostsekret.,*
Oberr.,36201014
Oberrcht.,36201014
Oberrich.,36201014
Oberricht.,36201014
Oberrichter,36201014
Oberst,36104021
Oberst u. Fürspr.,36104021
Oberstl.,*
Oberzollrevis.,*
Oberzollsekret.,*
Obrstkrgsc.,*
Obsthdl.,*
Offizial,*
Ohmgeldbeamt. b. ob. Th.,*
Ohmgeldverw.,*
Optiker,*
Organist u. Dintenfabrikant,*
Pächt.,11101005
Pächter,11101005
Papierhändler u. Buchb.,*
Papierhl.,*
Papierneg.,*
Papiernegotiant,*
Papierngt.,*
Parfm.,*
Part.,*
Pastetenb.,*
Pelzhdl.,*
Pfarrer,43201027
Pfarrer a. Münster,43201027
Pfarrer am Münster,43201027
Pfarrer auf der Nydeck,43201027
Pfarrvikar,43201023
Pferdehändler,31106010
Pferdehdl.,31106010
Pferdh.,31106010
Pferdhdl.,31106010
Pferdhl.,11301011
Pferdhlt.,11301011
Pfläst.,23105002
Pfläster.,23105002
Pfr.,43201027
Photogr.,37305001
Photograph,37305001
Pintenw.,*
Polizeid.,*
Polizeidiener-Corpor.,*
Polizeidiener-Wachtm.,*
Polizeidn.,*
Pörtn. im Burgersp.,*
Porträtmaler,*
Posam.,*
Posamentirer,*
Postabw.,*
Postadj.,*
Postangest.,*
Postb.,*
Postbureauchef.,*
Postcassier,*
Postcom.,*
Postcomm.,*
Postcommis,*
Postcondukt.,*
Postdir.,*
Postem.,*
Postktrl.,*
Postoffiz.,*
Postoffiziant,*
Postpacktrg.,*
Postsekr.,*
Präparat.,*
Präs. der Feld- u. Forstcom.,*
Primarlehrer,44401006
Privat.,*
Privatdozent,44101003
Privatleh.,44703005
Privatlehrer,44703005
Privatlh.,44703005
Prof.,44101001
Prof. Vet.,*
Prof. d. Mathem.,44101044
Prof. d. Theologie,44101009
Professor,44101001
Prokur.,*
Pulvercontroll.,*
Pulverw.,*
Quartieramtschef,*
Quartierauff.,*
Quartieraufs.,*
Quartieraufseher,*
Quincaill.- u. Spielzeughandlg.,*
Quincaill.-Hdlg.,*
