Abbreviation,Street
Schänzlistr.,Schänzlistrasse
Scharfrichterg.,Scharfrichtergasse
Schauplatzgasse,Schauplatzgasse
Schauplatzg.,Schauplatzgasse
Schauplg.,Schauplatzgasse
Schaupltzg.,Schauplatzgasse
Scheibenstr.,Scheibenstrasse
Scheibenw.,Scheibenweg
Schffl.,Schifflaube
Schg.,Schauplatzgasse
Schifflaube,Schifflaube
Schiffl.,Schifflaube
Schillingstr.,Schillingstrasse
Schläflistr.,Schläflistrasse
Schlösslistr.,Schlösslistrasse
Schlßli,Schlößli
Schlßl.,Schlößli
Schönburg,Schönburg
Schönburgstr.,Schönburgstrasse
Schöneckweg,Schöneggweg
Schosshaldenstr.,Schosshaldenstrasse
Schoßhalde,Schosshalde
Schoß-Halde,Schosshalde
Schoßhld.,Schosshalde
Schoßhl.,Schosshalde
Schossh.,Schosshalde
Schoßh.,Schosshalde
Schpg.,Schauplatzgasse
Schplg.,Schauplatzgasse
Schpltg.,Schauplatzgasse
Schpltzg.,Schauplatzgasse
Schplzg.,Schauplatzgasse
Schrfrg.,Scharfrichtergasse
Schßh.,Schosshalde
Schtzm.,Schutzmühle
Schulg.,Schulgasse
Schützeng.,Schützengäßlein
Schützengßl.,Schützengäßlein
Schützenmattstr.,Schützenmattstrasse
Schützgäßlein,Schützengäßlein
Schwaneng.,Schwanengasse
Schwarzenburgstr.,Schwarzenburgstrasse
Schwarzthorstrasse,Schwarztorstrasse
Schwarzthorstr.,Schwarztorstrasse
Schwarztorstr.,Schwarztorstrasse
Schwnm.,Schweinemarkt
schw. Thor,Schwarzes Thor
Seftigenstr.,Seftigenstrasse
Seidenw.,Seidenweg
Seilerstr.,Seilerstrasse
Seminarstr.,Seminarstrasse
Slzmag.,Salzmagazingasse
Spchg.,Speichergasse
Speichergasse,Speichergasse
Speicherg.,Speichergasse
Speichg.,Speichergasse
Speigasse,Speichergasse
Spg.,Speichergasse
Spitalackerstr.,Spitalackerstrasse
Spitalgasse,Spitalgasse
Spitalg.,Spitalgasse
Spitg.,Spitalgasse
Spitlg.,Spitalgasse
Splg.,Spitalgasse
Sptalg.,Spitalgasse
Sptg.,Spitalgasse
Sptig.,Spitalgasse
Sptlg.,Spitalgasse
Stadtbach,Stadtbach
Stadtbachstr.,Stadtbachstrasse
Stadtb.,Stadtbach
Stald.,Stalden
Standstr.,Standstrasse
Stauffacherstr.,Stauffacherstrasse
Stdb.,Stadtbach
Steinerstr.,Steinerstrasse
Stld.,Stalden
Stöckackerstr.,Stöckackerstrasse
Storcheng.,Storchengäßli
St.,Stalden
Südbahnhofstr.,Südbahnhofstrasse
Sulgb,Sulgenbach
Sulgenbachstr.,Sulgenbachstrasse
Sulgenb.,Sulgenbach
Sulgeneckstr.,Sulgeneckstrasse
Taubenstr.,Taubenstrasse
Thunstr.,Thunstrasse
Tiefenaustr.,Tiefenaustrasse
Tillierstr.,Tillierstrasse
Tscharnerstr.,Tscharnerstrasse
unteres Thor,Unteres Thor
unt. Thorbrücke,Unterthorbrücke
unt. Thor,Unteres Thor
unt. Th.,Unteres Thor
u. Thorbr.,Unterthorbrücke
u. Th.,Unteres Thor
v. d. ob. Thor,Vor dem oberen Thor
v. d. ob. Th.,Vor dem oberen Thor
v. d. unt. Th.,Vor dem unteren Thor
Viktoriastr.,Viktoriastrasse
Villettenmattstr.,Villettenmattstrasse
Vill.,Villette
vor d. ob. Thor,Vor dem oberen Thor
v. Schlößli üb. die Muesmatte,Vom Schlößli über die Muesmatte
Waaghausg.,Waaghausgasse
Wabernstr.,Wabernstrasse
Waghausg.,Waghausgasse
Wagnerstr.,Wagnerstrasse
Waisenhauspl.,Waisenhausplatz
Waisenhausstr.,Waisenhausplatz
Waisenhpl.,Waisenhausplatz
Waishpl.,Waisenhausplatz
Waldheimstr.,Waldheimstrasse
Wallg.,Wallgasse
Wangenstr.,Wangenstrasse
Wasserwerkg.,Wasserwerkgasse
Weiherg.,Weihergasse
Weingartstr.,Weingartstrasse
Weißenbühl,Weissenbühl
Weissenbühlw.,Weissenbühlweg
Weissenb.,Weissenbühl
Weissensteinstr.,Weissensteinstrasse
Werkg.,Werkgasse
Weststr.,Weststrasse
Weymh.,Weyermannshaus
Wiesenstr.,Wiesenstrasse
Wohlenstr.,Wohlenstrasse
Wylerfeldstr.,Wylerfeldstrasse
Wylerringstr.,Wylerringstrasse
Wylerstr.,Wylerstrasse
Wyttenbachstr.,Wyttenbachstrasse
Zähringerstr.,Zähringerstrasse
Zähr.,Zähringerstrasse
z. d. Th.,Zwischen den Thoren
Zeitglockenthurm,Zeitglockenthurm
Zeitglockth.,Zeitglockenthurm
Zeitglth.,Zeitglockenthurm
Zeitgl.,Zeitglockenthurm
Zeughausg.,Zeughausgasse
Zeughauspl.,Zeughausplatz
Zeughg.,Zeughausgasse
Zeughpl.,Zeughausplatz
Zeughspl.,Zeughausplatz
Zeugh.,Zeughausgasse
Zghg.,Zeughausgasse
Zghpl.,Zeughausplatz
Zghsg.,Zeughausgasse
Zieglerstr.,Zieglerstrasse
z. Linde,Zur Linde
Zwblg.,Zwiebelngäßlein
Zwblng.,Zwiebelngäßlein
zw. d. Thoren,Zwischen den Thoren
zw. d. Thor.,Zwischen den Thoren
zw. d. Th.,Zwischen den Thoren
Zwgß.,Zwiebelngäßlein
Zwg.,Zwiebelngäßlein
Zwiebelngässchen,Zwiebelngäßlein
Zwiebelng.,Zwiebelngäßlein
Zwieb.-gäßchen,Zwiebelngäßlein
Zwiebg.,Zwiebelngäßlein
zwisch. den Thoren,Zwischen den Thoren
zwisch. d. Thoren,Zwischen den Thoren
zwisch. d. Thor.,Zwischen den Thoren
